EMPRESA,CODIGO,SETOR,PAIS DE ORIGEM
DATADOG INC,D1DG34,Tecnologia,EUA
DAVITA INC,DVAI34,Centro mÇdico ? Serviáosˇ,EUA
DEERE & CO,DEEC34,Industrial,EUA
DELL TECHNOL,D1EL34,Computadores e Equipamentos,EUA
DELTA,DEAI34,Transporte AÇreo,EUA
DENTSPLY SIR,XRAY34,ComÇrcio ? Produtos de higiene dentalˇ,EUA
DEUTSCHE AK,DBAG34,Serviáos Financeirosˇ,Alemanha
DEVON ENERGY,D1VN34,"Petr¢leo, G†s e Biocombust°veis",EUA
DEXCOM INC,D1EX34,Farmacàutico,EUA
DIAGEO PL,DEOP34,Bebidas,Reino Unido
DIAMONDBACK ENERGY INC,F1AN34,Exploraá?o de hidrocarbonetos,EUA
DIGITAL REALTY TRUST INC,D1LR34,Fundo de investimento imobili†rio,EUA
DISCOVER FINANCIAL SERVICES,D1FS34,Serviáos Financeirosˇ,EUA
DISCOVERY IN,DCVY34,Comunicaá?oˇ,EUA
DISCOVERY INC,DCVY35,Telecomunicaá?es,EUA
DISH NETWORK,D1IS34,Telecomunicaá?es,EUA
DOCUSIGN INC,D1OC34,Tecnologia,EUA
DOLLAR GENER,DGCO34,ComÇrcioˇ,EUA
DOLLAR TREE,DLTR34,ComÇrcioˇ,EUA
DOMINION ENE,D1OM34,Energia,EUA
DOVER CORP,D1OV34,Industria diversificada,EUA
DOW INC,D1OW34,Produtos Qu°micos Diversificados,EUA
DR HORTON IN,D1HI34,Construá?o,EUA
DR REDDYS LABORATORIES LTD,R1DY34,Farmacàutico,India
DTE ENERGY CO,D1TE34,Energia,EUA
DUKE REALTY CORP,D1RE34,Fundo de investimento imobili†rio,EUA
DXC TECHNOLO,D1XC34,Tecnologia,EUA
EASTMAN CHEMICAL CO,E1MN34,Qu°micos,EUA
EATON CORP PLC,E1TN34,Energia,EUA
EBAY,EBAY34,Cat†logos e entregas domiciliares,EUA
ECOLAB INC,E1CL34,Tecnologias e serviáos de †gua,EUA
ECOPETROL SA,E1CO34,Energia,Colombia
EDISON INTER,E1IX34,Serviáos,EUA
EDWARDS LIFESCIENCES CORP,E1WL34,Equipamentos MÇdicos,EUA
ELECTR ARTS,EAIN34,Tecnologia,EUA
EMERSON ELECTRIC CO,E1MR34,Eletroeletrìnicos,EUA
ENEL AMERICAS SA,E1NI34,Utilidades,Chile
ENTERGY CORP,E1TR34,Energia,EUA
EOG RESOURCE,E1OG34,"Petr¢leo, G†s e Biocombust°veis",EUA
EQUIFAX INC,E1FX34,Serviáos Financeirosˇ,EUA
EQUINIX INC,EQIX34,Serviáos Financeirosˇ,EUA
EQUINOR ASA,E1QN34,Energia,Norway
EQUITY RESIDENTIAL,E1QR34,Fundo de investimento imobili†rio,EUA
ERICSSON LM TELEPHONE CO,E1RI34,Comunicaá?o,Sweden
ESSEX PROPERTY TRUST INC,E1SS34,Fundo de investimento imobili†rio,EUA
ESTEE LAUDER,ELCI34,ComÇrcio ? Produtos de higiene pessoal,EUA
EVEREST RE GROUP LTD,E1VE34,Seguros,EUA
EVERGY INC,E1VR34,Energia,EUA
EVERSOURCE ENERGY,E1SE34,Energia,EUA
EXELON CORP,E1XC34monde,Energia,EUA
EXPEDIA GROU,EXGR34,Comunicaá?oˇ,EUA
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,E1XP34,Log°stica,EUA
EXTRA SPACE STORAGE INC,E1XR34,Fundo de investimento imobili†rio,EUA
EXXON MOBIL,EXXO34,Combust°vel & G†s Integrados,EUA
F5 NETWORKS INC,F1FI34,Tecnologia,EUA
FACEBOOK,FBOK34,Tecnologia,EUA
FASTENAL,FASL34,ComÇrcio e Distribuiá?oˇ,EUA
FASTLY INC,F1SL34,Tecnologia,EUA
FEDERAL REALTY INVESTMENT TRUST,F1RI34,Fundo de investimento imobili†rio,EUA
FIDELITY NAT,F1NI34,Tecnologia,EUA
FIFTH THIRD,FFTD34,Serviáos Financeirosˇ,EUA
FIRST REPUBLIC BANK,F1RC34,Serviáos Financeirosˇ,EUA
FIRST SOLAR,FSLR34,Bens Industriais,EUA
FIRSTENERGYˇ,F1EC34,Energia,EUA
FISERV INC,F1IS34,Instituiá?o Financeira,EUA
FLEETCOR TEC,FLTC34,Serviáos Financeirosˇ,EUA
FLIR SYSTEMS INC,F1LI34,CÉmeras e sensores de imagem,EUA
FLOWSERVE CORP,F1LS34,Industria diversificada,EUA
FMC CORP,F1MC34,Qu°micos,EUA
FORD MOTORS,FDMO34,Autom¢veis,EUA
FORTINET INC,F1TN34,Tecnologia,EUA
FORTIVE CORP,F1TV34,Automaá?o industrial,EUA
FORTUNE BRANDS HOME & SECURITY INC,F1BH34,Utensilios domÇsticos,EUA
FOX CORP,FOXC34,Comunicaá?o,EUA
FRANKLIN RESOURCES INC,F1RA34,Serviáos Financeirosˇ,EUA
FREEPORT,FCXO34,Metais n?o ferrosos,EUA
FRESENIUS,FMSC34,Sa£de,Alemanha
GALAPAGOS NV,G1LP34,Farmacàutico,Belgium
GAP,GPSI34,"Tecidos, Vestu†rio e Caláados",EUA
GARMIN LTD,G1RM34,Tecnologia,EUA
GARTNER INC,G1AR34,Consultoria,EUA
GDS HOLDINGS LTD,G1DS34,Comunicaá?o,China
GE,GEOO34,M†quinas diversas,EUA
GENERAL MILLS INC,G1MI34,Alimentos,EUA
GENERAL MOTORS,GMCO34,Autom¢veis e Motocicletas,EUA
GENUINE PARTS CO,G1PC34,Serviáos,EUA
GEOPARK LTD,GPRK34,Energia,Chile
GILEAD,GILD34,Medicamentos e Outros Produtos,EUA
GLAXOSMITHKLINE PLC,G1SK34,Farmacàutico,Reino Unido
GLOBAL PAYMENTS INC,G1PI34,Tecnologia,EUA
GLOBE LIFE INC,G1LL34,Serviáos Financeirosˇ,EUA
GOLD FIELDS LTD,G1FI34,Mineraá?o,?frica do Sul
GOLDMANSACHS,GSGI34,Serviáos de investimentos,EUA
GOPRO,GPRO34,Computadores e Equipamentos,EUA
H&R BLOCK INC,H1RB34,Serviáos Financeirosˇ,EUA
HALLIBURTON,HALI34,Equipamentos e Serviáos de Combust°vel,EUA
HANESBRANDS INC,H1BI34,Roupas e Caláados,EUA
HANOVER INSU,THGI34,Serviáos Financeirosˇ,EUA
HARLEY-DAVIDSON INC,H1OG34,Motocicletas,EUA
HARTFORD FINANCIAL SERVICES GROUP INC,H1IG34,Serviáos Financeirosˇ,EUA
HASBRO INC,H1AS34,Brinquedos,EUA
HCA HEALTHCA,H1CA34,Sa£de,EUA
HDFC BANK LTD,H1DB34,Financeiro,India
HEALTHPEAK PROPERTIES INC,P1EA34,Imobili†rio,EUA
HEICO CORPORATION,H1EI34,Aeroespacial,EUA
HENRY SCHEIN INC,H1SI34,Sa£de,EUA
HERSHEY CO,HSHY34,Consumo,EUA
HESS CORP,H1ES34,"Petr¢leo, G†s e Biocombust°veis",EUA
HEWLETT PACK,H1PE34,Tecnologia,EUA
HILTON WORLD,H1LT34,H¢teis,EUA
HOLLYFRONTIER CORP,H1FC34,"Petr¢leo, G†s e Biocombust°veis",EUA
HOLOGIC INC,H1OL34,Sa£de,EUA
HOME DEPOT,HOME34,Lojas de melhorias domiciliares,EUA
HONDA MO,HOND34,Autom¢veis,Jap?o
HORIZON THERAPEUTICS PLC,H1ZN34,Farmacàutico,EUA
HORMEL FOODS,H1RL34,Alimentos,EUA
HOST HOTELSˇ,H1ST34,H¢teis,EUA
HOWMET AEROSPACE INC,ARNC34,Materiais B†sicosˇ,EUA
HSBC HOLDINGS PLC,H1SB34,Financeiro,Reino Unido
HUAZHU GROUP LTD,H1TH34,Hotelaria,China
HUMANA INC,H1UM34,Seguros,EUA
HUNTINGTON B,H1BA34,Instituiá?o Financeira,EUA
HUNTINGTON INGALLS INDUSTRIES INC,H1II34,Construá?o,EUA
IAC INTERACTIVECORPORATION,I1AC34,Comunicaá?o,EUA
ICICI BANK LTD,I1BN34,Financeiro,India
IDEX CORPORATION,I1EX34,Maquinario Industrial,EUA
IDEXX LABORATORIES INC,I1DX34,Diagn¢sticos veterin†rios,EUA
IHS MARKIT LTD,I1NF34,Serviáos,EUA
ILLINOIS TOOL WORKS INC,I1TW34,Industria diversificada,EUA
ILLUMINA INC,I1LM34,Biotecnologia,EUA
INCYTE CORP,I1NC34,Farmacàuticos,EUA
INFOSYS LTD,I1FO34,Tecnologia,India
ING GROEP,INGG3,Instituiá?o Financeira,Holanda
INGERSOLL-RAND PLC,I1RP34,Produtos industriais diversos,EUA
INTEL,ITLC34,Semicondutor amplo,EUA
INTERCONTINENTAL EXCHANGE INC,I1CE34,Serviáos Financeirosˇ,EUA
INTERCONTINENTAL HOTELS GROUP PLC,I1HG34,Hotelaria,Reino Unido
INTERNATIONA,I1PC34,Papel e Celulose,EUA
INTERNATIONAL FLAVORS & FRAGRANCES INC,I1FF34,Perfumes e Sabores,EUA
INTERPUBLIC GROUP OF COS INC,I1PH34,Publicidade,EUA
INTUIT INC,INTU34,Tecnologia,EUA
INTUITIVE SURGICAL INC,I1SR34,Sa£de,EUA
INVESCO LTD,I1VZ34,Instituiá?o Financeira,EUA
INVEST BCORP,ISBC34,Serviáos Financeirosˇ,EUA
IPG PHOTONICS CORP,I1PG34,Lasers de fibra,EUA
IQIYI INC,I1QY34,Comunicaá?o,China
IQVIA HOLDINGS INC,I1QV34,Consultoria,EUA
IRON MOUNTAIN INC,I1RM34,Armazenamento de informaá?es,EUA
JACK HENRY & ASSOCIATES INC,J1KH34,Tecnologia,EUA
JACOBS ENGINEERING GROUP INC,J1EG34,Serviáos,EUA
JB HUNT TRANSPORT SERVICES INC,J1BH34,Transportes e log°stica,EUA
JD COM,JDCO34,Tecnologia / E-Commerce,China
JEFFERIES FINANCIAL GROUP INC,J1EF34,Serviáos Financeirosˇ,EUA
JOHNSON CONT,J1CI34,Energia,EUA
JPMORGAN,JPMC34,Bancos,EUA
JUNIPER NETWORKS INC,J1NP34,Tecnologia,EUA
KANSAS CITY SOUTHERN,K1CS34,Ferrovi†rio,EUA
KB FINANCIAL GROUP INC,K1BF34,Financeiro,"Korea, Republic of"
KELLOGG CO,K1EL34,Alimentos,EUA
KEMPER CORP,KMPR34,Serviáos Financeirosˇ,EUA
KEYCORP,K1EY34,Instituiá?o Financeira,EUA
KEYSIGHT TECHNOLOGIES INC,K1SG34,Equipamentos eletrìnicos,EUA
KIMCO REALTY CORP,K1IM34,Fundo de investimento imobili†rio,EUA
KINDER MORGA,KMIC34,Energiaˇ,EUA
KLA CORP,K1LA34,Semicondutores,EUA
KOHLS CORP,K1SS34,Roupas e Caláados,EUA
KOPHILIPS,PHGN34,Tecnologia,Holanda
KROGER CO,K1RC34,Supermercados,EUA
KT CORP,K1TC34,Comunicaá?o,Coreia
L BRANDS,LBRN34,Consumo,EUA
L3HARRIS TECHNOLOGIES INC,L1HX34,Tecnologia,EUA
LABORATORY CORP OF AMERICA HOLDINGS,L1CA34,Laborat¢rios cl°nicos,EUA
LAM RESEARCH CORP,L1RC34,Semicondutores,EUA
LAMB WESTON HOLDINGS INC,L1WH34,Alimentos,EUA
LAS VEGAS SANDS CORPORATION,L1VS34,Hotelaria,EUA
LEGGETT & PLATT INC,L1EG34,Industria diversificada,EUA
LEIDOS HOLDINGS INC,L1DO34,Tecnologia,EUA
LENNAR CORP,L1EN34,Construá?o,EUA
